3.23766,3.09916,3.50399,0.29522,4.92143,2.12009,4.33872,1.12293,0.50124,4.92293,1.91550,3.23950,3.50865,0.30181,4.76549,1.97238,4.20939,1.11961,0.34222,4.92157,1.97299,3.15485,3.52961,0.29889,4.76173,1.99204,3.87747,0.20167,4.76075,0.32477,4.21667,2.80052,3.38071,0.25241,4.52215,1.90165,3.79850,3.49370,0.65062,0.17462
3.24700,3.15170,3.61060,0.30008,4.99042,2.17601,4.37957,1.17127,0.51699,5.00000,1.96545,3.25305,3.56680,0.30737,4.83670,2.02616,4.26451,1.14806,0.34535,4.99826,2.04280,3.16477,3.57761,0.30329,4.81907,2.03828,3.91870,0.20421,4.81472,0.36160,4.25223,2.80229,3.39063,0.25242,4.54240,1.94308,3.84918,3.56699,0.65550,0.20062
3.00949,3.89817,1.91796,0.28092,4.96394,2.18766,4.24115,0.89300,0.24952,4.72816,1.84950,3.06700,3.31859,0.24218,4.50451,1.86782,4.05250,0.90251,0.21605,4.59785,1.86125,3.00754,3.28668,0.24739,4.46305,1.85996,3.68263,0.17702,4.43363,0.12550,3.88869,2.65752,3.09444,0.23073,4.20581,1.79364,3.57222,3.26397,0.32622,0.03393
3.27017,4.18304,2.44800,0.28599,5.00000,2.23080,4.27443,0.91948,0.25384,4.80023,1.89959,3.07962,3.37353,0.24651,4.57278,1.92050,4.10494,0.92053,0.22273,4.66986,1.93038,3.01590,3.33319,0.25131,4.51768,1.90376,3.71993,0.17951,4.47748,0.13441,3.92316,2.65987,3.10550,0.23118,4.22508,1.83484,3.61593,3.32976,0.33166,0.03479
1.15870,4.04935,1.97072,0.44976,0.23459,1.73917,2.40053,1.87686,0.27313,0.19892,1.61985,0.21525,1.82551,0.27270,0.19867,1.89827,2.33672,1.82715,0.23850,0.20202,1.83945,0.22771,1.81011,0.27695,0.20164,1.73992,2.51480,3.35198,4.97004,3.83370,3.53078,3.17583,0.80455,0.71323,0.18258,0.81305,0.72424,3.80566,2.65129,0.29652
1.27780,4.06995,2.03366,0.45620,0.23893,1.75848,2.42360,1.89470,0.27798,0.20259,1.63850,0.21831,1.84244,0.27756,0.20226,1.94720,2.36910,1.85262,0.25110,0.21565,1.85780,0.22896,1.82541,0.28134,0.20473,1.75631,2.53833,3.37870,5.00000,3.85815,3.57607,3.21512,0.81186,0.71966,3.46503,3.28033,2.78726,3.02860,0.04901,2.18999
4.61387,2.92365,4.33172,1.37847,3.12850,2.11552,3.62613,4.47749,1.35244,3.27635,1.61367,3.11895,4.17828,1.36559,3.29266,2.01768,3.90619,4.65700,1.18346,3.20275,1.63627,2.98178,4.11985,1.36317,3.18960,2.00641,4.10802,1.12232,4.82149,0.45177,3.70151,2.84095,4.32518,1.29016,2.84440,2.39766,3.55606,2.21973,1.52787,0.30746
4.85344,2.89876,4.41231,1.38621,3.13002,2.12962,3.62506,4.45580,1.36183,3.25704,1.65497,3.12427,4.26256,1.37432,3.27861,2.03998,3.90174,4.72324,1.18183,3.18529,1.63710,2.98264,4.16513,1.37428,3.18809,2.02096,4.11638,1.13485,5.00000,0.43015,3.72707,2.83173,4.27377,1.31658,2.86551,2.41708,3.57871,2.23297,1.51806,0.30183
2.63477,3.38575,3.11865,0.40560,0.01784,2.64701,3.37122,3.14986,2.02192,1.15587,3.60173,4.90372,2.99773,2.62906,2.38827,3.96836,4.79068,2.45580,2.16065,0.01853,3.21321,4.20466,3.45585,0.40755,0.01784,3.53828,3.65826,2.87176,2.09602,1.15572,3.57230,2.04677,2.55416,0.74775,1.59464,3.72914,2.04944,2.02032,0.65099,0.01851
2.62237,3.34089,3.33363,0.56003,0.02266,2.10468,3.26919,2.50279,2.00824,1.15589,3.18809,5.00000,2.61544,1.88036,2.71039,3.50370,4.88462,2.47755,1.57499,0.02411,4.12221,4.16627,3.63753,0.56177,0.02269,3.26673,4.00426,2.96576,2.14996,1.15553,3.11921,2.03372,2.02439,0.86343,2.46514,3.20016,2.02390,2.02768,0.77541,0.02420
