1,49,587615
2,50,587780
3,51,587897
4,52,588029
1,49,589012
3,51,589246
4,52,589462
1,49,589763
2,50,594247
3,51,594498
4,52,594730
1,49,594947
1,49,600281
3,51,600613
4,52,600880
e,69,601498
1,49,601996
1,49,605365
2,50,605730
3,51,606030
4,52,606331
1,49,610547
2,50,610781
3,51,610947
4,52,611031
1,49,611214
2,50,616832
3,51,617048
4,52,617381
1,49,617865
x,88,619598
1,49,620231
1,49,621000
2,50,621132
3,51,621301
4,52,621467
1,49,622248
1,49,623366
e,69,623500
1,49,624649

,10,964176

,10,964461

,10,964961

,10,965044

,10,965127

,10,965211
1,49,967543
2,50,967694
3,51,967811
4,52,967994
1,49,969343
w,87,969643
e,69,969811
d,68,969994
1,49,971342
w,87,971911
e,69,972242
w,87,973410
e,69,974493
d,68,974812
z,90,976144
x,88,977177
v,86,977862
s,83,979062
r,82,980461
s,83,983479
a,65,984045
1,49,985195
w,87,987245
c,67,988345
1,49,988895
