q,81,3871
w,87,4270
e,69,4754
w,87,4970
e,69,5104
a,65,5370
s,83,5570
d,68,5754
f,70,5987
z,90,6287
x,88,6421
c,67,6638
v,86,6904
b,66,7487
n,78,7671
m,77,7787
g,71,8121
h,72,8221
j,74,8287
k,75,8337
l,76,8404
t,84,8753
y,89,8821
u,85,8904
i,73,8971
o,79,9038
i,73,9804
j,74,10372
h,72,10739
h,72,11838
h,72,12438
j,74,12871
k,75,13721
l,76,14186
p,80,14603
a,65,15388
i,73,16804
j,74,17121
j,74,17405
j,74,18121
j,74,18537
j,74,19038
j,74,19122
j,74,19204
j,74,19288
j,74,19372
j,74,19456
j,74,19538
j,74,19621
j,74,19705
j,74,19804
i,73,20673
i,73,21172
i,73,21254
i,73,21338
i,73,21421
o,79,21721
p,80,22055
i,73,22354
u,85,22606
y,89,22855
y,89,23073
t,84,23473
y,89,23971
y,89,24173
y,89,24355
y,89,24556
y,89,24740
y,89,24922
y,89,25071

,10,26206

,10,26890

,10,27389
q,81,27408
w,87,28340
e,69,28839
r,82,29206
h,72,29889
h,72,30539
j,74,31138
h,72,32356
j,74,32740
j,74,33139
j,74,33657
j,74,33724
j,74,33807
j,74,33908
j,74,33991
j,74,34057
j,74,34156
j,74,34240
j,74,34324
j,74,34407
j,74,34490
j,74,34572
j,74,34655
j,74,34741
h,72,35188
h,72,35688
h,72,35774
h,72,35857
h,72,35941
h,72,36022
h,72,36109
h,72,36191
h,72,36275

,10,36889
t,84,37289
t,84,38155
t,84,38656
t,84,38741
t,84,38841
t,84,38906

,10,39040
6,54,39474
6,54,40024

,10,40956
6,54,41191
6,54,41457
6,54,41890
6,54,42390

,10,42474
6,54,42706
6,54,43224
6,54,43490
6,54,44008

,10,44057

,10,44808
6,54,44990
6,54,45307
,8,46374
6,54,46607

,10,47573
6,54,48007
,8,48856
6,54,49189
6,54,50557

,10,51489
6,54,51841
6,54,53507
6,54,54008
6,54,54091
6,54,54175
6,54,54259
6,54,54342
6,54,54425
6,54,54511
6,54,54591
6,54,54674
6,54,54759
f,70,55108
g,71,55676
h,72,56658
h,72,57158
t,84,57843
t,84,58340
t,84,58427
t,84,58507
t,84,58590
t,84,58691
t,84,58776
t,84,58841
t,84,58941
t,84,59007
t,84,59092
t,84,59174
h,72,59490
h,72,59991
h,72,60077
h,72,60157
h,72,60242
h,72,60324
h,72,60408
h,72,60492
h,72,60576
h,72,60659
h,72,60740
j,74,61291
j,74,61793
j,74,61877
j,74,61959
j,74,62040
j,74,62124
j,74,62209
j,74,62290
t,84,62459
t,84,62958
t,84,63044
t,84,63125
t,84,63211
t,84,63293
t,84,63376
7,55,63708
7,55,63843
6,54,64092
6,54,64593
6,54,64676
6,54,64757
6,54,64841
6,54,64925
6,54,65010
6,54,65093
6,54,65176

,10,65626
5,53,66110
7,55,66809
8,56,66976
y,89,67577
u,85,67725
i,73,67909
g,71,68476
k,75,68692
v,86,69310
b,66,69476
n,78,69643
m,77,69857
,,44,70408
t,84,70959
5,53,71409
5,53,71910
5,53,71993
5,53,72074
5,53,72162
5,53,72241
6,54,72327
6,54,72827
7,55,72993
8,56,73508
8,56,74009
8,56,74092
8,56,74175
8,56,74278
8,56,74341
t,84,74391
y,89,74910
u,85,75293
i,73,75593
i,73,76111
i,73,76177
i,73,76260
i,73,76360
i,73,76427
i,73,76527
i,73,76611
i,73,76693
i,73,76778
g,71,76860
h,72,77009
j,74,77191
k,75,77377
k,75,77877
k,75,77960
k,75,78044
g,71,78210
h,72,78410
j,74,78677
k,75,78943
k,75,79443
k,75,79525
k,75,79609
k,75,79693
b,66,79827
n,78,80046
m,77,80344
,,44,80660
,,44,81161
