2,50,25224
w,87,25373
d,68,25640
v,86,25873
[,91,26790
],93,27106
1,49,28990
w,87,29007
d,68,29188
v,86,29325
[,91,29740
],93,29889
],93,30390
-,45,31024
z,90,32672
s,83,32891
d,68,33122
f,70,33256
4,52,34773
2,50,35239
f,70,35239
4,52,35640
f,70,49690
d,68,49772
s,83,49975
a,65,50207
q,81,50622
w,87,50822
e,69,50874
e,69,51374
c,67,51392
q,81,51623
w,87,51691
e,69,51840
e,69,52341
e,69,52425
e,69,52508
e,69,52591
e,69,52674
e,69,52755
e,69,52841
e,69,52924
e,69,53008
e,69,53091
e,69,53173
e,69,53258
e,69,53341
e,69,53424
e,69,53508
e,69,53590
1,49,53823
2,50,53992
d,68,54240
d,68,54742
d,68,54824
d,68,54908
d,68,54992
d,68,55075
d,68,55158
d,68,55242
d,68,55324
d,68,55407
d,68,55492
d,68,55574
d,68,55657
d,68,55741
d,68,55824
d,68,55907
d,68,55990
d,68,56073
d,68,56158
d,68,56242
c,67,56306
e,69,56607
e,69,57107
e,69,57191
e,69,57273
e,69,57359
e,69,57442
e,69,57525
e,69,57607
w,87,57675
2,50,57959
2,50,58457
2,50,58541
2,50,58674
1,49,59357
1,49,59858
1,49,59941
1,49,67691
q,81,68108
s,83,68440
q,81,68874
w,87,69341
e,69,69557
r,82,69758
	,9,70358
s,83,70642
	,9,71142
	,9,71493
e,69,71726
w,87,71742
x,88,73040
c,67,73306
d,68,73638
	,9,74319
q,81,74720
2,50,75253
s,83,75868
x,88,76250
w,87,77347
s,83,77846
x,88,78327
w,87,78660
q,81,78994
	,9,79211
d,68,79445
c,67,80393
d,68,80810
r,82,81672
e,69,82073
w,87,82606
e,69,83122
[,91,83356
[,91,83854
[,91,83939
[,91,84021
[,91,84121
[,91,84204
[,91,84271
[,91,84371
[,91,84437
d,68,84520
￿,16,86036
￿,16,86168

,10,86718
k,75,87001
￿,16,87101
K,75,87233
K,75,87417
K,75,87585

,10,87982

,10,88481

,10,88567

,10,88648

,10,88732

,10,88816
i,73,88833
￿,16,89016
I,73,89167

,10,89683

,10,90180

,10,90264

,10,90349
u,85,90365
￿,16,90581
U,85,90898
u,85,91030
￿,16,91780
U,85,92013
u,85,92197
￿,16,92598
U,85,92711
￿,16,93063
U,85,93262
u,85,93429
i,73,93829
k,75,93996
￿,16,94413
I,73,94510
k,75,94861
k,75,95227
k,75,95560
k,75,95926
k,75,96262
k,75,96477
i,73,96727
	,9,113165
	,9,113648
	,9,113731
	,9,113815
	,9,113964
	,9,114465
	,9,114548
	,9,114631
	,9,114715
	,9,114799
	,9,114883
	,9,114981
	,9,115050
	,9,115132
	,9,115431

,10,115597

,10,116198

,10,116464

,10,117083

,10,117815
,8,118631
,8,119214
,8,119465
,8,119680
,8,119880
,8,120149
,8,120864
,8,121064
,8,121249
,8,121463

,10,121815

,10,122314

,10,122397
h,72,122432
,8,123030
h,72,123346
,8,124313
u,85,124714

,10,125248

,10,125747
h,72,125797
u,85,125928
8,56,126196
￿,16,127081
H,72,127161
U,85,127364
I,73,127583
9,57,127930
￿,16,128347
K,75,128381
*,56,128649
￿,16,129146
H,72,129314
U,85,129564
K,75,129816
*,56,130064

,10,130697
-,45,130979
-,45,131479
-,45,131564
u,85,131596
y,89,131995
=,61,132332

,10,132531
=,61,132598
6,54,132928
7,55,133165
￿,16,133481
Y,89,134047
&,55,134249
^,54,134450
^,54,134765
&,55,134932
&,55,135099
&,55,135265
&,55,135449
^,54,135666
￿,16,136062
&,55,136263
&,55,136448
&,55,136648
&,55,136814
￿,16,137064
*,56,137130
I,73,137349
U,85,137648
H,72,137782
K,75,137981
￿,16,138229
U,85,138397
&,55,138682
