	,9,1704
e,69,2072
3,51,3006
c,67,3522
￿,37,4139
￿,37,4639
￿,38,4688
 ,32,5171
￿,37,5271
￿,38,5604
 ,32,5889
￿,37,6189
[,91,6537
],93,6722
￿,37,7755
￿,38,8124
 ,32,8306
[,91,8804
],93,9005
￿,16,9839
d,68,10504
a,65,11871
1,49,13657
[,91,14922
],93,15006
-,45,15871
-,45,16621
￿,16,17489
￿,0,17604
￿,0,17621

,10,17771
k,75,18189

,10,18955

,10,19456

,10,19538

,10,19622

,10,19706

,10,19790

,10,19873

,10,19956

,10,20038
j,74,20038
￿,16,20504

,10,21439
-,45,21989

,10,22507

,10,23007

,10,23089

,10,23189

,10,23256

,10,23339

,10,23406
-,45,23806
-,45,24939
u,85,25189

,10,25923
-,45,26257
i,73,26306

,10,26907
-,45,26989
8,56,27204
7,55,27623
￿,16,28424
(,57,28723
*,56,28739
￿,16,29405
*,56,29623
￿,16,30155
&,55,30541
&,55,30806
&,55,30972
&,55,31207
&,55,31423
￿,16,31957
I,73,32391
￿,16,32872
I,73,33207
￿,16,34206
J,74,34588
H,72,34607
J,74,34792
J,74,34989
J,74,35191
[,91,35588
],93,35707
￿,16,36423
J,74,36822
H,72,36822
J,74,36958
￿,16,37422
J,74,37723
J,74,37840
￿,16,38207
J,74,38290
H,72,38375
￿,16,38624
J,74,38708

,10,39724

,10,40240

,10,40325

,10,40408

,10,40491

,10,40573
-,45,40592
-,45,41091
-,45,41174
-,45,41258
-,45,41340
-,45,41425
-,45,41507
-,45,41590
-,45,41674
-,45,41758
-,45,41841
-,45,41924
-,45,42006
-,45,42091
-,45,42175
-,45,42257
-,45,42341
-,45,42424
b,66,42441
￿,16,42691
B,66,43358
B,66,43825
B,66,44276
B,66,44742
B,66,45206
[,91,46559
-,45,47376
=,61,47424
￿,16,48324
Q,81,48675
Q,81,49176
Q,81,49258
Q,81,49341
Q,81,49425
Q,81,49508
Q,81,49591
q,81,49674
[,91,50008
],93,50107
-,45,50991
z,90,52825
x,88,53909
[,91,54507
[,91,55008
f,70,57192
-,45,59042
-,45,59826
-,45,60327
-,45,60410
[,91,60676
],93,60794
],93,61295
a,65,63464
￿,20,63511
A,65,63979
F,70,64013
[,91,64397
],93,64478
F,70,64879
F,70,65630
f,70,66213
],93,66580
],93,67080
],93,67165
],93,67246
],93,67331
-,45,67398
d,68,67565
-,45,67997
a,65,68782
d,68,68966
[,91,69333
],93,69416
￿,16,70047
J,74,70932
J,74,71099
￿,16,71733
K,75,71848
K,75,71967
￿,16,72367
I,73,73200
￿,16,73533
I,73,73700
￿,16,74068
I,73,74184
￿,16,74551
I,73,74633
[,91,75183
],93,75283
],93,75784
],93,75867
],93,75952
],93,76035
],93,76118
],93,76202
],93,76268
],93,76367
],93,76451
],93,76534
],93,76618
],93,76702
],93,76783
],93,76869
],93,76951
],93,77036
],93,77117
],93,77202
],93,77283
],93,77368
￿,16,77368
H,72,77435
J,74,77435
J,74,77617
a,65,78867
￿,37,81417
￿,38,81518
￿,40,81569
 ,32,81585
 ,32,82086
 ,32,82169
￿,16,82517
 ,32,82668
￿,37,82819
￿,38,83220
[,91,84668
],93,84769
-,45,85136
￿,16,85619
_,45,85637
_,45,85719
 ,32,85753
￿,38,85836
￿,37,86704
d,68,89303
a,65,89904
[,91,90588
],93,90687
],93,91188
],93,91271
],93,91353
],93,91435
],93,91521
],93,91605
],93,91687
],93,91771
],93,91853
],93,91938
],93,92019
],93,92105
],93,92188
],93,92271
],93,92354
],93,92438
],93,92521
],93,92603
],93,92687
3,51,92737
e,69,92772
d,68,92841
[,91,93587
],93,93722
